Generation,evals,avg,std,min,max,best_one,fitness_best_one
0,500,[  7.3        565.63686873],[0.45825757 8.40290307],[  7.         553.60724813],[  8.        577.8754613],"[13, 6, 4, 3, 17, 19, 18, 1, 16, 9, 11, 15, 21, 2, 7, 24, 20, 10, 14, 12, 23, 22, 8, 25, 5]","(7.0, 553.6072481295867)"
1,8,[  7.35       578.62149639],[ 0.4769696  29.35996829],[  7.         553.60724813],[  8.         668.10631165],"[13, 6, 4, 3, 17, 19, 18, 1, 16, 9, 11, 15, 21, 2, 7, 24, 20, 10, 14, 12, 23, 22, 8, 25, 5]","(7.0, 553.6072481295867)"
2,16,[  7.3        584.13378941],[ 0.45825757 34.56117458],[  7.         553.60724813],[  8.         679.74644785],"[13, 6, 4, 3, 17, 19, 18, 1, 16, 9, 11, 15, 21, 2, 7, 24, 20, 10, 14, 12, 23, 22, 8, 25, 5]","(7.0, 553.6072481295867)"
3,28,[  7.4        593.66524829],[ 0.48989795 39.0340575 ],[  7.         553.60724813],[  8.         724.10192478],"[13, 6, 4, 3, 17, 19, 18, 1, 16, 9, 11, 15, 21, 2, 7, 24, 20, 10, 14, 12, 23, 22, 8, 25, 5]","(7.0, 553.6072481295867)"
4,62,[  7.4        596.12429948],[ 0.50249378 41.51253862],[  7.         537.49138065],[  9.         724.10192478],"[10, 16, 6, 2, 14, 17, 20, 22, 18, 3, 4, 24, 25, 21, 12, 13, 11, 9, 15, 19, 23, 8, 1, 7, 5]","(7.0, 537.491380653708)"
5,116,[  7.440625   602.55447367],[ 0.50889548 43.37325644],[  7.         537.49138065],[  9.         734.43985043],"[10, 16, 6, 2, 14, 17, 20, 22, 18, 3, 4, 24, 25, 21, 12, 13, 11, 9, 15, 19, 23, 8, 1, 7, 5]","(7.0, 537.491380653708)"
6,222,[  7.354      588.04467345],[ 0.49465544 26.48045772],[  7.         516.42215947],[  9.         672.91587321],"[5, 7, 10, 1, 8, 11, 6, 2, 3, 4, 22, 24, 9, 18, 12, 16, 17, 14, 13, 21, 25, 20, 19, 15, 23]","(7.0, 516.4221594660685)"
7,350,[  7.344      567.54935539],[ 0.47504105 11.84545556],[  7.         516.42215947],[  8.         588.11711194],"[5, 7, 10, 1, 8, 11, 6, 2, 3, 4, 22, 24, 9, 18, 12, 16, 17, 14, 13, 21, 25, 20, 19, 15, 23]","(7.0, 516.4221594660685)"
8,356,[  7.448     559.5543365],[0.49728865 8.45611833],[  7.         516.42215947],[  8.         572.52983416],"[5, 7, 10, 1, 8, 11, 6, 2, 3, 4, 22, 24, 9, 18, 12, 16, 17, 14, 13, 21, 25, 20, 19, 15, 23]","(7.0, 516.4221594660685)"
9,348,[  7.572      553.55884737],[0.49478884 8.29624138],[  7.         513.36687365],[  8.         561.47401237],"[2, 7, 10, 1, 8, 3, 6, 5, 11, 22, 18, 24, 9, 4, 12, 16, 17, 14, 13, 21, 25, 20, 19, 15, 23]","(7.0, 513.3668736458836)"
10,390,[  7.546      549.81927557],[0.4978795  9.94651376],[  7.         507.90520387],[  8.         556.74881405],"[1, 5, 7, 9, 8, 12, 16, 14, 2, 15, 6, 3, 25, 11, 4, 20, 18, 19, 10, 13, 17, 22, 24, 23, 21]","(7.0, 507.9052038721538)"
11,358,[  7.212      545.76559004],[ 0.40872485 11.84601664],[  7.         494.69528331],[  8.         557.13033396],"[1, 5, 7, 9, 8, 25, 17, 14, 12, 15, 6, 2, 3, 11, 4, 16, 18, 19, 13, 10, 20, 22, 24, 23, 21]","(7.0, 494.6952833084051)"
12,324,[  7.194      539.15931957],[ 0.39542888 12.02881116],[  7.         494.56938497],[  8.         552.80346263],"[1, 5, 7, 9, 8, 25, 17, 14, 12, 15, 6, 2, 3, 11, 4, 16, 18, 19, 13, 10, 20, 22, 24, 23, 21]","(7.0, 494.6952833084051)"
13,362,[  7.16       530.21457812],[ 0.36660606 11.17833008],[  7.         494.56938497],[  8.         543.33099772],"[1, 5, 7, 9, 8, 25, 17, 14, 12, 15, 6, 2, 3, 11, 4, 16, 18, 19, 13, 10, 20, 22, 24, 23, 21]","(7.0, 494.6952833084051)"
